"campaign","search_term","status","clicks","impr","cost_eur","conv","conv_value_eur","cpa_eur"
"[CH] Fanovera","acheter des abo tiktok","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[CH] Fanovera","followers tiktok pas cher","ADDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter abonnés tiktok","ADDED","4","27","3.95","1.50","0.00","2.63"
"[FR] Fanovera","abonnés tiktok pas cher","ADDED","3","17","2.96","0.00","0.00",""
"[FR] Fanovera","follower tiktok achat","ADDED_EXCLUDED","2","2","2.00","0.00","0.00",""
"[FR] Fanovera","acheter follower tiktok","ADDED","2","2","1.98","0.00","0.00",""
"[FR] Fanovera","achat abonnés tiktok fiable","ADDED_EXCLUDED","2","4","1.97","0.00","0.00",""
"[FR] Fanovera","achat followers tiktok pas cher","ADDED","2","5","1.97","0.00","0.00",""
"[FR] Fanovera","acheter des abonnés tiktok","ADDED_EXCLUDED","2","15","1.96","0.50","0.00","3.92"
"[FR] Fanovera","acheter followers tiktok","ADDED","2","11","1.74","1.00","0.00","1.74"
"[FR] Fanovera","follower tiktok","ADDED_EXCLUDED","2","20","1.70","0.00","0.00",""
"[FR] Fanovera","achat abonne tiktok","ADDED_EXCLUDED","1","5","1.00","0.00","0.00",""
"[FR] Fanovera","achat follower tiktok","ADDED","1","4","1.00","0.00","0.00",""
"[FR] Fanovera","acheter abonné tiktok","ADDED","1","5","1.00","0.00","0.00",""
"[FR] Fanovera","achat abonnés tiktok","ADDED","1","8","0.99","0.00","0.00",""
"[FR] Fanovera","achat followers tiktok","ADDED","1","7","0.99","0.00","0.00",""
"[FR] Fanovera","acheter abonne tiktok","ADDED","1","1","0.99","0.00","0.00",""
"[FR] Fanovera","acheter des abonnés tik tok","ADDED_EXCLUDED","1","2","0.99","0.00","0.00",""
"[FR] Fanovera","acheter des followers sur tiktok","ADDED_EXCLUDED","1","1","0.99","3.00","0.00","0.33"
"[FR] Fanovera","acheter des followers tiktok","ADDED_EXCLUDED","1","2","0.99","1.00","0.00","0.99"
"[FR] Fanovera","followers pas cher tiktok","ADDED_EXCLUDED","1","7","0.99","0.00","0.00",""
"[FR] Fanovera","meilleur site achat abonnés tiktok","ADDED","1","4","0.99","1.00","0.00","0.99"
"[FR] Fanovera","acheter des abonnés sur tik tok","ADDED_EXCLUDED","1","4","0.98","0.00","0.00",""
"[FR] Fanovera","acheter des abonnes tiktok","ADDED_EXCLUDED","1","5","0.98","0.00","0.00",""
"[FR] Fanovera","abonné tiktok pas cher","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","abonnés tiktok acheter","ADDED","0","2","0.00","0.00","0.00",""
"[FR] Fanovera","achat abo tiktok","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","achat abonné tiktok","ADDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","achat abonnés tiktok français","ADDED_EXCLUDED","0","3","0.00","0.00","0.00",""
"[FR] Fanovera","achat abonnés tiktok instantané","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter abo tiktok","ADDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter abonnement tiktok","ADDED","0","4","0.00","0.00","0.00",""
"[FR] Fanovera","acheter abonnés tiktok français","ADDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter abonnés tiktok pas cher","ADDED","0","2","0.00","0.00","0.00",""
"[FR] Fanovera","acheter des abonnés sur tiktok","ADDED_EXCLUDED","0","4","0.00","0.00","0.00",""
"[FR] Fanovera","acheter des follower sur tiktok","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter des followers pour tiktok","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","acheter follow tiktok","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""
"[FR] Fanovera","follower tik tok","ADDED_EXCLUDED","0","2","0.00","0.00","0.00",""
"[FR] Fanovera","follower tiktok pas cher","ADDED_EXCLUDED","0","2","0.00","0.00","0.00",""
"[FR] Fanovera","followers tiktok acheter","ADDED_EXCLUDED","0","2","0.00","0.00","0.00",""
"[FR] Fanovera","followers tiktok pas cher","ADDED","0","3","0.00","0.00","0.00",""
"[FR] Fanovera","meilleur site achat followers tiktok","ADDED","0","5","0.00","0.00","0.00",""
"[FR] Fanovera","tiktok achat abonnés","ADDED_EXCLUDED","0","1","0.00","0.00","0.00",""