"Term","MatchType","Status","AdGroup","Clicks","Impr","Cost","ConvValue","Conv"
"avoir des abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"freer es followers","Requête large","Aucun","Tiktok","0","2","0","0","0"
"abo insta","Expression exacte (variante proche)","Aucun","Instagram","1","7","0,43","1","1"
"bot vue tiktok gratuit","Requête large","Aucun","Tiktok","2","14","0,95","0","0"
"achat abonnés tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","2","6","1,19","0","0"
"gagner des follower instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","1","1,02","0","0"
"comment avoir des abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","6","0","0","0"
"business tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"groupe followers instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir faux abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","1","1","1,05","0","0"
"tiktok followers","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tikviral com","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonnes tiktok gratuit","Requête large","Aucun","Tiktok","1","2","0,7","0","0"
"achat followers tiktok pas cher","Expression exacte","Aucun","Tiktok","0","2","0","0","0"
"visibilité tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"promotion tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter compte tiktok 10k abonnés","Expression exacte","Aucun","Tiktok","3","7","2,71","0","0"
"followers pas cher tiktok","Mot clé exact","Ajouté","Tiktok","0","3","0","0","0"
"booster un tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"achat abonne instagram","Mot clé exact (variante proche)","Aucun","Instagram","1","1","1,23","0","0"
"achat followers tiktok","Mot clé exact","Ajouté","Tiktok","1","21","1,88","8,99","1"
"abonnes instagram pas cher","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"zefoy followers tiktok gratuit","Requête large","Aucun","Tiktok","0","1","0","0","0"
"promotion video tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"follow 4 follow instagram","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"followers pour instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter des followers sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"followers boost","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"application pour gagner des abonnés sur tiktok gratuit","Requête large","Aucun","Tiktok","2","5","1,14","0","0"
"booster tiktok payant","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonner tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter des abonnés tik tok gratuit","Expression exacte","Aucun","Tiktok","3","17","2,08","0","0"
"acheter abo tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","3","0","0","0"
"abonnés instagram achat","Mot clé exact (variante proche)","Aucun","Instagram","0","17","0","0","0"
"followers tiktok pas cher","Requête large","Aucun","Tiktok","0","1","0","0","0"
"boost tiktok gratuit","Requête large","Aucun","Tiktok","1","1","0,61","0","0"
"mr insta","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter abonnes tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","2","6","6,51","89,98","2"
"augmenter instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok live studio","Requête large","Aucun","Tiktok","0","1","0","0","0"
"developper son audience instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"booster instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"100 abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok boost views","Requête large","Aucun","Tiktok","0","1","0","0","0"
"top followers avis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"comment acheter des abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","1","1","5,45","0","0"
"site pour gagner des abonnés sur tiktok gratuit","Requête large","Aucun","Tiktok","3","9","1,81","0,02","0,02"
"comment faire de la pub sur tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter des followers instagram","Mot clé exact","Ajouté","Instagram","2","12","2,54","60,99","2"
"booster video tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"compte tiktok 10k","Requête large","Aucun","Tiktok","0","2","0","0","0"
"followers tiktok","Requête large","Aucun","Tiktok","1","10","0,47","0","0"
"booster follower instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter abonnés tiktok pas cher","Mot clé exact","Ajouté","Tiktok","0","3","0","0","0"
"tik star","Requête large","Aucun","Tiktok","0","1","0","0","0"
"followers tiktok acheter","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"achat abonnés tiktok fiable","Mot clé exact (variante proche)","Aucun","Tiktok","1","9","2,15","0","0"
"achat followers instagram meilleur site","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"c est quoi une agence tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnes insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"buy tiktok followers","Mot clé exact (variante proche)","Aucun","Tiktok","2","3","10,12","1","1"
"buy instagram follow","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir plus d abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"fire like tik tok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"comment augmenter ses followers sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"10 abonnés tiktok gratuit","Requête large","Aucun","Tiktok","0","3","0","0","0"
"booster tiktok gratuit","Requête large","Aucun","Tiktok","1","3","0,7","0","0"
"comment acheter des abonnes tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tiktok video viral website","Requête large","Aucun","Tiktok","0","2","0","0","0"
"vu tiktok","Requête large","Aucun","Tiktok","0","4","0","0","0"
"propulse instagram avis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"meilleur agence tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","3","0","0","0"
"acheter likes tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"buy 1k followers tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"booster ses vues tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnés tiktok","Requête large","Ajouté","Tiktok","0","2","0","0","0"
"instalike","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tik tok view","Requête large","Aucun","Tiktok","3","3","1,37","0","0"
"booster vues tiktok","Expression exacte (variante proche)","Exclu","Tiktok","0","1","0","0","0"
"gagner followers instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"buyfollowers","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir des abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok ads library","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"manychat tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"getafollowers","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonnés tiktok acheter","Mot clé exact","Ajouté","Tiktok","0","4","0","0","0"
"follower instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"comment acheter des followers sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"tikboost abonnés tiktok fyp","Mot clé exact","Ajouté","Tiktok","5","35","3,61","11,97","3,98"
"followers boost fr","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"buy tiktok 1000 followers","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"top followers fr","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"generateur abonnés insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok like boost","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter followers instagram reel","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"acheter compte tiktok monétiser","Requête large","Aucun","Tiktok","0","2","0","0","0"
"abonnés tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","5","0","0","0"
"business tiktok ai","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"how to get 1000 followers on tiktok in 1 minute for free","Requête large","Aucun","Tiktok","0","1","0","0","0"
"top follow tiktok","Requête large","Aucun","Tiktok","0","4","0","0","0"
"acheter follower tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","2","13","6","3,99","1"
"bot abonné tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"bot tiktok","Requête large","Aucun","Tiktok","1","1","0,68","0","0"
"freer es followers tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"followersup","Expression exacte (variante proche)","Aucun","Instagram","1","3","0,7","1","1"
"free follower instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","1","0,67","1","1"
"abonnés instagram pas cher","Expression exacte (variante proche)","Ajouté","Instagram","0","1","0","0","0"
"tiktok cheap followers","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonné tiktok gratuit","Requête large","Exclu","Tiktok","0","4","0","0","0"
"acheter abonnés instagram","Mot clé exact","Ajouté","Instagram","1","5","1,22","0","0"
"how to get more views on tiktok without paying","Requête large","Exclu","Tiktok","0","1","0","0","0"
"tokmatik","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"comment gagner des follower sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter abo insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"comment acheter des followers instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"social boosting tiktok","Expression exacte (variante proche)","Aucun","Tiktok","1","1","1,14","0","0"
"achat follow tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","4","0","0","0"
"tiktok video viral website free","Requête large","Aucun","Tiktok","0","1","0","0","0"
"achat de followers avis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"follower tik tok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"achat instagram followers","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"plus d abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"tiktok followers","Mot clé exact (variante proche)","Aucun","Tiktok","1","11","3,17","0","0"
"followers tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","1","9","0,68","0","0"
"tokupgrade","Requête large","Aucun","Tiktok","1","2","0,46","0","0"
"followers insta","Expression exacte (variante proche)","Aucun","Instagram","1","1","0,96","0,5","0,5"
"tiktok boost followers gratuit","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnés sur tiktok","Mot clé exact","Ajouté","Tiktok","0","1","0","0","0"
"tiktokfollowers co","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"affiliate center tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tikview site","Requête large","Aucun","Tiktok","0","1","0","0","0"
"produits tendance tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnés tiktok avis","Expression exacte","Aucun","Tiktok","0","2","0","0","0"
"acheter des abonnes sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat vu tiktok","Requête large","Aucun","Tiktok","1","2","0,43","0","0"
"comment acheter des abonnes instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"followers insta gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"booster compte instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok social listening","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"generateur de followers instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"pathsocial","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"100 abonnés tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"followers for tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter vue live tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"instagram boost followers","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"free views tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"boost follower instagram","Mot clé exact","Ajouté","Instagram","2","5","2,09","2","2"
"tiktok followers buy","Expression exacte (variante proche)","Aucun","Tiktok","1","1","1,21","0","0"
"site pour gagner des abonnés sur instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","3","0","0","0"
"booster mon instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"mkt tikpro","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter commentaire tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"tiktok business","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"followers boost tiktok","Expression exacte (variante proche)","Aucun","Tiktok","1","1","0,48","0","0"
"anotherfollower","Expression exacte (variante proche)","Aucun","Instagram","0","9","0","0","0"
"follower instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","7","0,48","1","1"
"acheter des abonnés insta","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter abonne instagram","Mot clé exact (variante proche)","Aucun","Instagram","1","1","2,19","0","0"
"achat abonnés instagram gratuit","Expression exacte","Aucun","Instagram","5","15","2,86","2,98","3"
"acheter abonnes insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"pubtok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"follower tiktok","Requête large","Aucun","Tiktok","0","5","0","0","0"
"follower tik tok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"echange abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","1","1","1,13","1,5","1,5"
"achat followers tiktok avis","Requête large","Aucun","Tiktok","0","1","0","0","0"
"achat abonnés tiktok français","Mot clé exact (variante proche)","Aucun","Tiktok","1","5","1,63","0","0"
"boost vu tiktok","Requête large","Aucun","Tiktok","2","2","1,15","0","0"
"abonnés instagram 1 €","Expression exacte (variante proche)","Aucun","Instagram","0","3","0","0","0"
"classement agence tiktok france","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"instazero","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok followers gratuit","Requête large","Aucun","Tiktok","1","2","0,46","0","0"
"acheter des abonnés tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","2","1","0,69","0","0"
"abonnés instagram pas cher","Mot clé exact (variante proche)","Ajouté","Instagram","0","1","0","0","0"
"compte tiktok 10k acheter","Expression exacte (variante proche)","Aucun","Tiktok","1","2","0,51","0","0"
"followers for tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tikboost abonnés tiktok fyp","Expression exacte (variante proche)","Ajouté","Tiktok","2","4","0,86","8,99","1"
"achat followers instagram meilleur site","Expression exacte","Aucun","Instagram","1","2","1,94","0","0"
"acheter abonnés tiktok français","Requête large","Aucun","Tiktok","0","1","0","0","0"
"meilleur site achat followers instagram","Expression exacte (variante proche)","Aucun","Instagram","0","3","0","0","0"
"1k followers instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","3","0,97","1","1"
"boost instagram free","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"site pour acheter des abonnés tik tok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"meilleur agence tiktok live","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"booster compte tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"abonné insta gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"pubtok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"acheter followers threads","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok unlimited followers","Requête large","Aucun","Tiktok","1","1","0,66","0","0"
"plus d abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter followers francais instagram","Expression exacte","Aucun","Instagram","0","1","0","0","0"
"tikviral","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tiktok counter","Requête large","Aucun","Tiktok","0","2","0","0","0"
"combien coute une pub tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"followers instagram pas cher","Expression exacte (variante proche)","Aucun","Instagram","1","3","1,79","0","0"
"booster instagram","Mot clé exact (variante proche)","Aucun","Instagram","2","7","3,81","0","0"
"application pour booster tiktok gratuit","Requête large","Aucun","Tiktok","1","5","0,44","0","0"
"abonnés tiktok pas cher","Requête large","Aucun","Tiktok","0","3","0","0","0"
"spark ads tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"follower tiktok pas cher","Mot clé exact","Ajouté","Tiktok","1","5","0,92","3,49","2"
