"Term","MatchType","Status","AdGroup","Clicks","Impr","Cost","ConvValue","Conv"
"augmenter les vues tiktok","Requête large","Aucun","Tiktok","1","1","0,7","0","0"
"auto liker tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"meilleur moment pour poster tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"cheap tiktok followers","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"comment percer sur tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"achat followers instagram","Mot clé exact (variante proche)","Aucun","Instagram","3","46","4,82","2","2"
"follow tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"compte tiktok 10k acheter","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter des follower instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"buy ig followers","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"vrai abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","2","3","4,12","0","0"
"turbo abonnés tiktok","Requête large","Aucun","Tiktok","1","1","0,46","0","0"
"igbest","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"croissance instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonne tiktok","Requête large","Aucun","Tiktok","1","4","0,54","0","0"
"comment acheter des abonnés tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"abonnés tiktok francais","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonnés insta gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir des abonnés sur tiktok gratuit","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnes instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"abonné instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","7","0,44","1","1"
"tiktok achat abonnés","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"pub sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonnes instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"site comme zefame","Mot clé exact","Ajouté","Instagram","0","2","0","0","0"
"acheter abonne insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter des follow insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter abonné insta","Mot clé exact (variante proche)","Aucun","Instagram","1","23","3,51","2","2"
"acheter compte tiktok 1000 abonnés","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tik star com","Requête large","Aucun","Tiktok","0","2","0","0","0"
"follower gain","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"turbo abonnés tiktok","Expression exacte (variante proche)","Aucun","Tiktok","2","5","0,93","1","1"
"free instagram followers","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat abonné tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"global follower","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat followers tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","3","2","2,07","3,99","1"
"tiktok video viral trick today","Requête large","Aucun","Tiktok","0","1","0","0","0"
"auto like tiktok","Requête large","Aucun","Tiktok","1","2","0,46","0","0"
"tik boost","Expression exacte (variante proche)","Aucun","Tiktok","1","1","0,46","0","0"
"zefame like tiktok gratuit","Requête large","Aucun","Tiktok","1","5","0,69","0","0"
"followers insta free","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"agence tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"site pour avoir des abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"achat d abonnés tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","1","6","1,22","0","0"
"my boost instagram avis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"followers sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"meilleur site achat followers instagram","Expression exacte","Aucun","Instagram","0","1","0","0","0"
"acheter like et vu tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"naizop free tiktok views","Requête large","Aucun","Tiktok","0","1","0","0","0"
"free abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"instagram augmenter followers","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter 10000 followers tiktok","Expression exacte","Aucun","Tiktok","0","2","0","0","0"
"achat abonne tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter follower instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","4","0","0","0"
"followers pas cher instagram","Expression exacte (variante proche)","Aucun","Instagram","0","4","0","0","0"
"views tiktok","Requête large","Aucun","Tiktok","0","3","0","0","0"
"instagram followers increase","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat de followers instagram","Mot clé exact","Ajouté","Instagram","0","1","0","0","0"
"booster les followers sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonne gratuit instagram","Expression exacte (variante proche)","Aucun","Instagram","1","4","0,39","1","1"
"acheter abonnés tiktok français","Mot clé exact (variante proche)","Aucun","Tiktok","3","16","6,52","1","1"
"instagram followers free","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter des abonnés tik tok gratuit","Requête large","Aucun","Tiktok","0","2","0","0","0"
"abonnés tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","3","23","2,19","9,99","2"
"1k follow instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abos insta","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat abonnés tiktok instantané","Requête large","Aucun","Tiktok","0","1","0","0","0"
"follower tiktok gratuit","Requête large","Aucun","Tiktok","1","3","0,46","0","0"
"igfollowers","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"comment attirer plus de followers sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter abonnés tiktok","Mot clé exact","Ajouté","Tiktok","5","36","4,68","13,78","3"
"acheter des abonnes sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"payer des abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","1","4","1,9","0,99","1"
"comment acheter des followers tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"go followers","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"payer des followers instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"www popularup com","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"my tools town tiktok views","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"meilleur site achat followers tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"boost follower tiktok","Requête large","Aucun","Tiktok","1","1","0,7","0","0"
"generateur de vu tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"acheter abonnés insta","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"boost follower tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"achat follower tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","13","0","0","0"
"use viral tiktok","Requête large","Exclu","Tiktok","0","1","0","0","0"
"faux abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","0","4","0","0","0"
"booster vues tiktok","Requête large","Exclu","Tiktok","0","6","0","0","0"
"followers instagram gratis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"zefame tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"zefame like","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"publier sur tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"boost live tiktok","Requête large","Exclu","Tiktok","0","1","0","0","0"
"achat abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","4","0,23","1,49","1"
"comment avoir des abonnés gratuit sur tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"ig followers cheap","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"meilleur site achat followers tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"tiktok boost followers","Mot clé exact (variante proche)","Aucun","Tiktok","1","1","1,45","15,74","2,5"
"achat abonnés tiktok instantané","Mot clé exact (variante proche)","Aucun","Tiktok","3","6","4,02","5,99","3"
"zefoy tiktok likes","Requête large","Aucun","Tiktok","1","2","0,66","0","0"
"follow insta","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"application pour avoir des vues sur tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"booster son instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"vue tiktok pas cher","Requête large","Aucun","Tiktok","0","2","0","0","0"
"acheter des vues tiktok","Requête large","Aucun","Tiktok","1","1","0,47","0","0"
"free instagram followers 2026","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"formation tiktok shop","Expression exacte (variante proche)","Exclu","Tiktok","0","1","0","0","0"
"followers instagram acheter","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"tikboost","Expression exacte (variante proche)","Aucun","Tiktok","0","4","0","0","0"
"acheter followers tiktok","Requête large","Ajouté","Tiktok","0","1","0","0","0"
"tiktok organique","Expression exacte (variante proche)","Exclu","Tiktok","0","1","0","0","0"
"zefame instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat abonnés tiktok francais","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter des abonnes instagram avis","Expression exacte","Aucun","Instagram","0","3","0","0","0"
"live tiktok 500 abonnés","Requête large","Aucun","Tiktok","0","1","0","0","0"
"booster visibilité instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"generateur de follower instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"comment avoir plus de followers sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"turboabonné","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter des followers tik tok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tiktok view","Requête large","Aucun","Tiktok","0","1","0","0","0"
"comment avoir plus de followers sur instagram gratuitement","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"boutique tiktok shop","Requête large","Exclu","Tiktok","0","1","0","0","0"
"real followers tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter des abonnes tik tok","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter vues tiktok","Requête large","Exclu","Tiktok","0","3","0","0","0"
"generateur d abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter follow insta","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"comment avoir plus de followers sur insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","3","12","3,42","2","2"
"free tiktok followers","Requête large","Exclu","Tiktok","1","4","0,66","0","0"
"abonner gratuit sur instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tok booster","Requête large","Aucun","Tiktok","0","2","0","0","0"
"top followers tiktok","Requête large","Aucun","Tiktok","0","2","0","0","0"
"insta boost","Expression exacte (variante proche)","Aucun","Instagram","2","4","2,88","2","2"
"abonnés gratuit instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir plus de followers gratuitement","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat d abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonnés instagram acheter","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktokboost","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"instagram abonnés gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"achat abonnés tiktok pas cher","Requête large","Aucun","Tiktok","0","1","0","0","0"
"generateur de follower tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"boostfr instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"pub tiktok","Mot clé exact (variante proche)","Exclu","Tiktok","0","1","0","0","0"
"comment publier une vidéo sur tiktok pour avoir des vues","Requête large","Exclu","Tiktok","0","1","0","0","0"
"achat abonne insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"boost tiktok followers","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"site pour avoir beaucoup d abonnés sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"achat d abonnés tiktok avis","Requête large","Aucun","Tiktok","0","1","0","0","0"
"followers tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","1","10","0,88","0","0"
"tokupgrade","Expression exacte (variante proche)","Aucun","Tiktok","2","7","1,58","0","0"
"10000 abonnés tiktok gratuit","Requête large","Exclu","Tiktok","0","1","0","0","0"
"boost follower instagram","Mot clé exact (variante proche)","Ajouté","Instagram","1","2","1,76","0","0"
"follower tiktok pas cher","Mot clé exact (variante proche)","Ajouté","Tiktok","1","2","0,67","0","0"
"entreprise tik tok","Requête large","Exclu","Tiktok","0","2","0","0","0"
"turboabonnés","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"booster ses followers instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","3","3,06","2","2"
"followers pas cher tiktok","Mot clé exact (variante proche)","Ajouté","Tiktok","0","6","0","0","0"
"acheter abonnés tiktok pas cher","Mot clé exact (variante proche)","Ajouté","Tiktok","1","15","0,7","0","0"
"followgram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abonnés tiktok acheter","Mot clé exact (variante proche)","Ajouté","Tiktok","2","13","4,55","0","0"
"faux abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"augmenter nombre abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter des follower tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","5","0","0","0"
"payer abonnés insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"abo insta gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","1","0,68","1","1"
"comment acheter des abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"promouvoir video tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonnés tiktok gratuit","Requête large","Aucun","Tiktok","0","5","0","0","0"
"insta boost gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","1","0,84","0","0"
"acheter abonné tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","4","0","0","0"
"my boost instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"boost abonnés instagram gratuit","Expression exacte","Aucun","Instagram","0","1","0","0","0"
"acheter followers instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"followers pas cher tiktok","Expression exacte (variante proche)","Ajouté","Tiktok","0","5","0","0","0"
"acheter des abonnés instagram prix","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"fueltok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"tiktok follower buy","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"site comme zefame","Expression exacte (variante proche)","Ajouté","Instagram","0","1","0","0","0"
"instaboost","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"followers tik tok","Mot clé exact (variante proche)","Aucun","Tiktok","2","4","3,4","0","0"
"augmenter les abonnés tiktok gratuit","Requête large","Aucun","Tiktok","1","3","0,47","0","0"
"follower instagram pas cher","Mot clé exact (variante proche)","Aucun","Instagram","2","1","3,88","4,97","4"
"booster ses abonnés instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"promouvoir tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","4","0","0","0"
"comment gagner des abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"follower tiktok","Expression exacte (variante proche)","Aucun","Tiktok","4","8","3,48","2","2"
"tiktok followers acheter","Mot clé exact (variante proche)","Aucun","Tiktok","2","2","1,36","0","0"
"boost view tiktok","Requête large","Exclu","Tiktok","0","1","0","0","0"
"acheter des abonnés tiktok avis","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"agence tiktok france","Expression exacte (variante proche)","Aucun","Tiktok","1","2","6,94","0","0"
"follower francais","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"meilleur site achat followers tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","2","16","1,51","3","3"
"promouvoir tiktok gratuit","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"boost like tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"tiktok follower","Requête large","Aucun","Tiktok","0","4","0","0","0"
"followers tik","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"buy tiktok followers","Expression exacte (variante proche)","Aucun","Tiktok","0","9","0","0","0"
"acheter followers insta","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
